0.04,0.79,0.85
0.04,0.79,0.84
0.03,0.79,0.84
0.04,0.77,0.82
0.04,0.80,0.84
0.04,0.80,0.85
0.03,0.81,0.86
0.04,0.82,0.87
0.03,0.82,0.85
0.04,0.79,0.83
0.04,0.79,0.84
0.05,0.82,0.88
0.04,0.86,0.91
0.04,0.80,0.85
0.04,0.80,0.84
0.04,0.78,0.84
0.04,0.77,0.83
0.04,0.79,0.84
0.04,0.79,0.84
0.07,0.77,0.86
0.05,0.83,0.88
0.04,0.84,0.89
0.04,0.84,0.89
0.04,0.84,0.89
0.06,0.84,0.91
0.04,0.82,0.87
0.05,0.85,0.90
0.05,0.80,0.86
0.04,0.82,0.88
0.05,0.81,0.87
0.04,0.85,0.90
0.05,0.78,0.84
0.04,0.81,0.86
0.04,0.81,0.86
0.04,0.79,0.84
0.04,0.80,0.84
0.04,0.82,0.88
0.04,0.79,0.84
