0.05,0.96,1.02
0.04,0.97,1.02
0.06,0.95,1.03
0.05,0.96,1.02
0.05,0.97,1.03
0.05,0.99,1.04
0.05,0.96,1.02
0.04,0.98,1.03
0.05,0.95,1.02
0.05,0.98,1.03
0.03,0.96,1.01
0.05,0.97,1.04
0.04,1.00,1.06
0.05,1.03,1.09
0.05,1.02,1.08
0.05,0.97,1.03
0.05,0.99,1.05
0.06,0.96,1.03
0.05,0.99,1.05
0.06,1.01,1.08
0.04,0.97,1.02
0.05,0.96,1.02
0.05,0.96,1.02
0.05,0.97,1.03
0.05,0.97,1.02
0.04,0.98,1.03
0.04,0.99,1.05
0.05,0.98,1.03
0.05,1.00,1.07
0.05,0.99,1.05
0.05,0.99,1.04
0.05,1.01,1.07
0.04,0.99,1.04
0.05,1.00,1.06
0.04,1.00,1.05
0.05,1.03,1.10
0.04,1.03,1.09
0.05,0.99,1.05
0.05,0.99,1.05
0.05,0.99,1.06
0.04,1.00,1.06
0.04,1.01,1.06
0.05,1.03,1.09
0.05,0.98,1.04
0.05,0.98,1.04
0.04,0.96,1.01
0.06,0.96,1.04
0.05,0.99,1.05
0.04,0.98,1.03
