0.32,10.79,34.91
0.28,10.79,33.57
0.31,10.93,33.87
0.30,10.82,33.74
0.33,10.87,33.92
0.28,10.90,33.91
0.33,10.80,33.20
0.27,10.96,33.29
0.26,10.93,33.44
0.28,10.98,33.58
0.29,11.38,33.19
0.28,10.85,33.31
0.25,10.95,33.35
0.31,10.86,33.73
0.30,10.94,33.84
0.30,10.77,34.10
0.30,10.83,33.89
0.26,10.91,33.39
0.31,10.88,33.61
0.28,10.71,33.65
0.26,11.02,33.31
0.30,10.88,33.17
0.29,11.15,33.05
0.31,10.86,34.19
0.33,10.86,33.18
0.30,10.98,32.71
0.30,10.97,33.18
0.27,10.85,33.60
0.28,10.78,33.99
0.26,11.06,33.21
0.28,10.92,33.66
0.30,10.91,32.74
0.30,11.02,33.34
0.29,10.81,33.23
0.31,11.10,33.39
0.26,10.87,33.44
0.29,10.90,33.47
0.29,10.86,33.43
0.34,10.83,34.03
0.29,10.91,33.88
0.31,10.74,32.33
0.30,10.79,33.79
0.32,10.84,33.16
0.31,10.86,33.10
0.29,10.99,33.55
0.29,10.81,33.55
0.29,10.92,33.57
0.28,10.78,33.82
0.30,11.03,33.52
0.29,10.85,34.84
0.30,10.71,33.74
0.32,10.89,33.29
0.28,10.95,33.96
0.31,10.87,33.74
0.28,11.66,33.55
0.26,10.85,33.87
0.31,10.95,33.15
0.29,10.74,33.82
0.29,10.91,33.75
